Account No,Jan-June,July-Dec,Category
1415852,8,0,2
1415853,2,2,0
1415854,21,5,1
1415855,6,0,2
1415856,1,0,2
1415857,17,4,1
1415858,3,7,0
1415859,11,0,2
1415861,19,0,2
1415864,29,0,2
1415865,5,13,0
1415866,4,3,0
1415867,2,1,0
1415868,11,0,2
1415869,18,9,0
1415871,4,16,0
1415872,2,0,2
1415873,4,5,0
1415874,13,16,0
1415877,2,0,2
1415878,11,15,0
1415879,11,0,2
1415880,5,1,1
1415881,21,10,0
1415882,27,1,1
1415883,9,10,0
1415884,16,4,1
1415885,11,0,2
1415887,18,0,2
1415888,10,0,2
1415891,7,7,0
1415894,9,0,2
1415896,12,0,2
1415897,6,6,0
1415898,8,0,2
1415899,10,7,0
11111012,4,0,2
11111100,2,0,2
11111111,52,0,2
11111113,8,0,2
11111114,6,0,2
11111115,1,0,2
11111116,3,0,2
11111117,1,0,2
11111118,1,0,2
11111119,6,7,0
11111120,1,1,0
11111121,5,4,0
11111122,5,2,0
11111123,1,0,2
11111124,3,1,0
11111125,13,2,1
11111126,8,0,2
11111127,13,8,0
11111129,38,15,0
11111130,17,0,2
11111132,6,0,2
11111133,29,0,2
11111134,3,0,2
11111135,9,1,1
11111139,1,0,2
11111141,1,0,2
11111142,7,0,2
11111143,7,11,0
11111144,59,0,2
11111149,3,0,2
11111150,1,0,2
11111151,1,0,2
11111152,1,0,2
11111153,17,26,0
11111156,12,3,1
11111157,12,0,2
11111161,6,0,2
11111163,10,0,2
11111165,17,0,2
11111166,11,0,2
11111170,1,0,2
11111171,11,0,2
11111172,4,0,2
11111173,16,0,2
11111177,1,0,2
11111178,1,0,2
11111179,6,0,2
11111180,8,0,2
11111182,1,0,2
11111185,6,0,2
11111187,4,0,2
11111188,1,0,2
11111189,1,0,2
11111190,2,0,2
11111191,1,0,2
11111194,4,0,2
11111195,1,0,2
11111196,1,0,2
11111198,1,0,2
11111199,1,0,2
14158900,17,17,0
14158901,2,4,0
14158902,4,5,0
14158903,11,1,1
14158904,3,13,0
14158905,5,0,2
14158906,4,0,2
14158907,9,9,0
14158908,7,11,0
14158909,4,4,0
14158910,14,0,2
14158911,2,2,0
14158912,2,1,0
14158914,2,0,2
14158915,2,0,2
14158916,1,1,0
14158917,1,3,0
14158918,1,7,0
14158919,10,0,2
14158920,1,0,2
14158921,2,1,0
14158922,5,0,2
14158923,17,6,0
14158925,2,4,0
14158926,4,5,0
14158927,11,1,1
14158928,2,11,0
14158929,5,0,2
14158930,4,0,2
14158931,9,3,0
14158932,7,11,0
14158933,4,4,0
14158934,10,0,2
14158935,2,2,0
14158936,1,1,0
14158938,2,0,2
14158939,2,0,2
14158940,1,1,0
14158941,1,3,0
14158942,1,7,0
14158943,6,0,2
14158944,1,0,2
14158945,2,1,0
14158946,5,0,2
14158947,2,0,2
20210001,13,12,0
202110012,5,4,0
202110015,1,3,0
202110017,2,0,2
202110202,13,2,1
202110208,15,1,1
202110212,8,9,0
202110215,1,10,0
202110217,11,13,0
202110234,7,5,0
202110236,9,0,2
202110242,16,2,1
202110244,10,2,1
202110246,13,10,0
202110309,49,17,1
202110310,7,16,0
202110390,11,11,0
202110391,2,13,0
202110392,8,11,0
202110393,8,11,0
202110394,11,11,0
202110396,11,11,0
2021100397,49,42,0
2021100398,31,42,0
2021100401,9,42,0
2021100403,49,42,0
2021100404,30,42,0
2021100405,6,39,0
2021100406,30,42,0
2021100407,49,42,0
2021100408,49,42,0
2021100409,8,42,0
2021100410,17,41,0
