Account No,Date,Description,Type,Balance
1406001,09-03-19,USER,Withdrawl,16892.5
1406001,09-05-19,USER,Withdrawl,16053.4
1406001,09-05-19,USER,Withdrawl,15068
1406001,09-05-19,SYSTEM,Deposit,16968
1406001,09-11-19,USER,Withdrawl,12951.4
1406001,09-12-19,USER,Deposit,17605.4
1406001,09-17-19,USER,Withdrawl,14085.4
1406001,09-22-19,USER,Withdrawl,12133.4
1406001,09-26-19,SYSTEM,Deposit,14148
1406001,09-30-19,USER,Withdrawl,11031.4
1406001,10-02-19,USER,Deposit,15685.4
1406001,10-05-19,USER,Withdrawl,15385.4
1406001,10-07-19,USER,Withdrawl,13433.7
1406001,10-10-19,SYSTEM,Deposit,15448.3
1406001,10-16-19,USER,Withdrawl,12331.7
1406001,10-18-19,USER,Deposit,16985.7
1406001,10-24-19,USER,Withdrawl,13625.7
1406001,10-26-19,USER,Withdrawl,11670.5
1406001,10-29-19,USER,Withdrawl,10568.5
1406001,10-31-19,USER,Deposit,15222.5
1406001,11-05-19,USER,Withdrawl,14022.5
1406001,11-07-19,USER,Withdrawl,11068.3
1406001,11-09-19,SYSTEM,Deposit,14082.9
1406001,11-15-19,USER,Withdrawl,10966.3
1406001,11-17-19,USER,Deposit,15620.3
1406001,11-22-19,USER,Withdrawl,14660.3
1406001,11-24-19,USER,Withdrawl,12060.3
1406001,11-27-09,USER,Withdrawl,10005.6
1406001,12-07-19,USER,Withdrawl,9003.6
1406001,12-11-19,USER,Deposit,13657.6
1406001,12-12-19,USER,Withdrawl,6697.4
1406001,12-19-19,SYSTEM,Deposit,13712
1406001,12-25-19,USER,Withdrawl,10595.4
1406001,12-31-19,USER,Deposit,15249.4
,,,,
1406002,01-09-19,SYSTEM,Deposit,6724
1406002,02-09-19,SYSTEM,Deposit,9986
1406002,03-09-19,SYSTEM,Deposit,13248
1406002,04-09-19,SYSTEM,Deposit,16510
1406002,04-12-19,USER,Withdrawl,15055
1406002,04-30-19,USER,Withdrawl,15030.1
1406002,04-30-19,USER,Deposit,15094.7
1406002,05-05-19,USER,Withdrawl,14361.1
1406002,05-09-19,SYSTEM,Deposit,17623.1
1406002,05-12-19,USER,Withdrawl,16168.1
1406002,05-31-19,USER,Withdrawl,16120.3
1406002,05-31-19,USER,Deposit,16234.9
1406002,06-03-19,USER,Withdrawl,12590.3
1406002,06-05-19,USER,Withdrawl,11871.3
1406002,06-09-19,SYSTEM,Deposit,15133.3
1406002,06-12-19,USER,Withdrawl,13678.3
1406002,06-30-19,USER,Withdrawl,13521.7
1406002,06-30-19,USER,Deposit,13736.3
1406002,07-05-19,USER,Withdrawl,13002.7
1406002,07-09-19,SYSTEM,Deposit,16264.7
1406002,07-12-19,USER,Withdrawl,14809.7
1406002,07-23-19,USER,Withdrawl,13849.7
1406002,07-31-19,USER,Withdrawl,13395.1
1406002,07-31-19,USER,Deposit,13909.7
1406002,08-05-19,USER,Withdrawl,13176.1
1406002,08-09-19,SYSTEM,Deposit,16438.1
1406002,08-12-19,USER,Withdrawl,14983.1
1406002,08-30-19,USER,Withdrawl,14653.1
1406002,08-31-19,USER,Withdrawl,14300.2
1406002,08-31-19,USER,Deposit,14714.8
1406002,09-05-19,USER,Withdrawl,13981.2
1406002,09-09-19,SYSTEM,Deposit,17243.2
1406002,09-12-19,USER,Withdrawl,15788.2
1406002,09-21-19,USER,Withdrawl,15548.2
1406002,09-30-19,USER,Withdrawl,14998.5
1406002,09-30-19,USER,Deposit,15613.1
1406002,10-05-19,USER,Withdrawl,14879.5
1406002,10-09-19,SYSTEM,Deposit,18141.5
1406002,10-12-19,USER,Withdrawl,16686.5
1406002,10-26-19,USER,Withdrawl,15666.5
1406002,10-31-19,USER,Withdrawl,14020
1406002,10-31-19,USER,Deposit,15734.6
1406002,11-05-19,USER,Withdrawl,15001
1406002,11-09-19,SYSTEM,Deposit,18263
1406002,11-12-19,USER,Withdrawl,16808
1406002,11-29-19,USER,Withdrawl,15458
1406002,11-30-19,USER,Withdrawl,15512.4
1406002,11-30-19,USER,Deposit,15527
1406002,12-05-19,USER,Withdrawl,14793.4
1406002,12-09-19,SYSTEM,Deposit,18055.4
1406002,12-12-19,USER,Withdrawl,16600.4
,,,,
1406003,01-01-19,USER,Withdrawl,51621.9
1406003,01-02-19,USER,Withdrawl,50821.9
1406003,01-03-19,USER,Withdrawl,48821.9
1406003,01-05-19,USER,Deposit,54835.9
1406003,01-05-19,USER,Withdrawl,50826.9
1406003,01-06-19,USER,Deposit,52226.9
1406003,01-14-19,USER,Withdrawl,49326.9
1406003,01-22-19,USER,Withdrawl,46726.9
1406003,01-29-19,USER,Withdrawl,45526.9
1406003,01-31-19,USER,Deposit,45731.5
1406003,01-31-19,SYSTEM,Withdrawl,45716.9
1406003,02-05-19,USER,Deposit,51730.9
1406003,02-05-19,USER,Deposit,56630.9
1406003,02-05-19,USER,Withdrawl,52621.9
1406003,02-28-19,USER,Deposit,52836.2
1406003,02-28-19,SYSTEM,Withdrawl,52821.6
1406003,03-05-19,USER,Withdrawl,51826.6
1406003,03-05-19,USER,Deposit,58835.6
1406003,03-07-19,USER,Withdrawl,53926.6
1406003,03-31-19,USER,Deposit,54150.1
1406003,03-31-19,SYSTEM,Withdrawl,54135.5
1406003,04-05-19,USER,Withdrawl,50140.5
1406003,04-05-19,USER,Deposit,60149.5
1406003,04-06-19,USER,Withdrawl,52140.5
1406003,04-30-19,USER,Deposit,52358.4
1406003,04-30-19,SYSTEM,Withdrawl,52343.8
1406003,05-05-19,USER,Withdrawl,48348.8
1406003,05-05-19,USER,Deposit,58357.8
1406003,05-06-19,USER,Deposit,59348.8
1406003,05-31-19,USER,Deposit,59576.7
1406003,05-31-19,SYSTEM,Withdrawl,59562.1
1406003,06-02-19,USER,Withdrawl,26462.1
1406003,06-05-19,USER,Withdrawl,20674.1
1406003,06-05-19,USER,Deposit,23683.1
1406003,06-05-19,USER,Deposit,35483.1
1406003,06-30-19,USER,Deposit,40864.6
1406003,06-30-19,SYSTEM,Withdrawl,40850
1406003,07-05-19,USER,Withdrawl,39355
1406003,07-05-19,USER,Deposit,46864
1406003,07-05-19,USER,Deposit,47364
1406003,07-05-19,USER,Withdrawl,39355
1406003,07-31-19,USER,Deposit,39532.4
1406003,07-31-19,SYSTEM,Withdrawl,39517.8
1406003,08-04-19,USER,Deposit,41717.8
1406003,08-05-19,USER,Withdrawl,40722.8
1406003,08-05-19,USER,Deposit,43731.8
1406003,08-31-19,USER,Deposit,43901.3
1406003,08-31-19,SYSTEM,Withdrawl,43886.7
1406003,09-03-19,USER,Withdrawl,39986.7
1406003,09-03-19,USER,Withdrawl,39186.7
1406003,09-05-19,USER,Deposit,45200.7
1406003,09-05-19,USER,Withdrawl,41191.7
1406003,09-30-19,USER,Deposit,41362.3
1406003,09-30-19,SYSTEM,Withdrawl,41347.7
1406003,10-03-19,USER,Withdrawl,38547.7
1406003,10-05-19,USER,Deposit,44561.7
1406003,10-05-19,USER,Withdrawl,40552.7
1406003,10-08-19,USER,Withdrawl,39552.7
1406003,10-31-19,USER,Deposit,39717.4
1406003,10-31-19,SYSTEM,Withdrawl,39702.8
1406003,11-02-19,USER,Withdrawl,38502.8
1406003,11-05-19,USER,Withdrawl,35507.8
1406003,11-05-19,USER,Deposit,40516.8
1406003,11-30-19,USER,Deposit,40674.5
1406003,11-30-19,SYSTEM,Withdrawl,40659.9
1406003,12-02-19,USER,Deposit,40759.9
1406003,12-04-19,USER,Withdrawl,38759.9
1406003,12-05-19,USER,Deposit,47780.9
1406003,12-05-19,USER,Withdrawl,43771.9
1406003,12-09-19,USER,Withdrawl,41571.9
,,,,
1406004,01-03-19,USER,Withdrawl,35182.6
1406004,01-04-19,USER,Withdrawl,28582.6
1406004,01-05-19,USER,Withdrawl,21082.6
1406004,01-05-19,USER,Withdrawl,15033.6
1406004,01-17-19,USER,Deposit,37333.6
1406004,01-20-19,USER,Withdrawl,33333.6
1406004,01-22-19,USER,Withdrawl,24633.6
1406004,01-26-19,USER,Deposit,67258.6
1406004,01-26-19,USER,Deposit,69612.6
1406004,01-30-19,USER,Withdrawl,65458.6
1406004,01-31-19,USER,Withdrawl,65588.7
1406004,01-31-19,SYSTEM,Deposit,65603.3
1406004,02-05-19,USER,Withdrawl,59539.7
1406004,02-08-19,USER,Deposit,98695.7
1406004,02-16-19,USER,Withdrawl,95895.7
1406004,02-16-19,USER,Withdrawl,72895.7
1406004,02-19-19,USER,Deposit,96655.7
1406004,02-21-19,USER,Withdrawl,84355.7
1406004,02-28-19,USER,Deposit,96192.5
1406004,02-28-19,USER,Deposit,96447.7
1406004,02-28-19,SYSTEM,Deposit,96807.1
1406004,03-03-19,USER,Deposit,136536.5
1406004,03-03-19,USER,Withdrawl,93736.5
1406004,03-05-19,USER,Withdrawl,87687.5
1406004,03-18-19,USER,Withdrawl,76087.5
1406004,03-18-19,USER,Withdrawl,71187.5
1406004,03-21-19,USER,Deposit,100402.5
1406004,03-31-19,USER,Deposit,100769.1
1406004,03-31-19,SYSTEM,Deposit,100783.7
1406004,04-05-19,USER,Withdrawl,94720.1
1406004,04-07-19,USER,Withdrawl,65764.1
1406004,04-07-19,USER,Deposit,109164.1
1406004,04-11-19,USER,Deposit,114638.1
1406004,04-15-19,USER,Withdrawl,72138.1
1406004,04-17-19,USER,Withdrawl,65038.1
1406004,04-30-19,USER,Deposit,65356.3
1406004,04-30-19,SYSTEM,Deposit,65370.9
1406004,05-05-19,USER,Withdrawl,59307.3
1406004,05-08-19,USER,Deposit,80312.3
1406004,05-12-19,USER,Deposit,129865.3
1406004,05-12-19,USER,Withdrawl,81765.3
1406004,05-13-19,USER,Withdrawl,77965.3
1406004,05-17-19,USER,Withdrawl,66665.3
1406004,05-31-19,USER,Deposit,66942.2
1406004,05-31-19,SYSTEM,Deposit,66956.8
1406004,06-03-19,USER,Withdrawl,62042.2
1406004,06-05-19,USER,Withdrawl,55993.2
1406004,06-16-19,USER,Withdrawl,54993.2
1406004,06-30-19,USER,Deposit,55215.5
1406004,06-30-19,SYSTEM,Deposit,55230.1
1406004,07-05-19,USER,Withdrawl,49166.5
1406004,07-06-19,USER,Withdrawl,44766.5
1406004,07-10-19,USER,Deposit,74405.5
1406004,07-16-19,USER,Deposit,95630.5
1406004,07-16-19,USER,Withdrawl,73730.5
1406004,07-31-19,USER,Deposit,74039.5
1406004,07-31-19,SYSTEM,Deposit,74054.1
1406004,08-05-19,USER,Withdrawl,67990.5
1406004,08-06-19,USER,Deposit,84295.5
1406004,08-07-19,USER,Withdrawl,79395.5
1406004,08-15-19,USER,Withdrawl,67795.5
1406004,08-31-19,USER,Deposit,68081.9
1406004,08-31-19,SYSTEM,Deposit,68096.5
1406004,09-05-19,USER,Withdrawl,62032.9
1406004,09-14-19,USER,Withdrawl,54232.9
1406004,09-20-19,USER,Deposit,95787.9
1406004,09-20-19,USER,Withdrawl,91387.9
1406004,09-22-19,USER,Deposit,135651.9
1406004,09-22-19,USER,Withdrawl,120451.9
1406004,09-24-19,USER,Withdrawl,116679.9
1406004,09-24-19,USER,Deposit,139179.9
1406004,09-28-19,USER,Withdrawl,110338.9
1406004,09-28-19,USER,Deposit,131138.9
1406004,09-30-19,USER,Withdrawl,48580
1406004,09-30-19,USER,Deposit,110680
1406004,09-30-19,SYSTEM,Deposit,110694.6
1406004,10-02-19,USER,Withdrawl,64705
1406004,10-04-19,USER,Withdrawl,62305
1406004,10-05-19,USER,Withdrawl,56256
1406004,10-09-19,USER,Withdrawl,53856
1406004,10-14-19,USER,Deposit,63547
1406004,10-14-19,USER,Deposit,80247
1406004,10-16-19,USER,Deposit,87321
1406004,10-19-19,USER,Withdrawl,85521
1406004,10-21-19,USER,Deposit,135488
1406004,10-21-19,USER,Withdrawl,82388
1406004,10-31-19,USER,Deposit,82760.9
1406004,10-31-19,SYSTEM,Deposit,82775.5
1406004,11-02-19,USER,Withdrawl,81766.9
1406004,11-02-19,USER,Deposit,116766.9
1406004,11-05-19,USER,Withdrawl,85717.9
1406004,11-06-19,USER,Withdrawl,82117.9
1406004,11-12-19,USER,Withdrawl,79717.9
1406004,11-13-19,USER,Withdrawl,64317.9
1406004,11-21-19,USER,Deposit,87076.9
1406004,11-22-19,USER,Deposit,94868.9
1406004,11-22-19,USER,Deposit,130432.9
1406004,11-22-19,USER,Withdrawl,66532.9
1406004,11-30-19,USER,Deposit,92290.9
1406004,11-30-19,USER,Deposit,92587.3
1406004,11-30-19,SYSTEM,Deposit,92601.9
1406004,12-02-19,USER,Withdrawl,64215.3
1406004,12-02-19,USER,Deposit,112615.3
1406004,12-05-19,USER,Withdrawl,58166.3
1406004,12-13-19,USER,Withdrawl,57066.3
1406004,12-16-19,USER,Withdrawl,52666.3
,,,,
1406005,01-02-19,USER,Withdrawl,31548.9
1406005,01-19-19,USER,Deposit,47092.9
1406005,01-31-19,USER,Withdrawl,22612.7
1406005,02-08-19,USER,Withdrawl,15956.7
1406005,03-07-19,USER,Deposit,35209.6
1406005,03-31-19,USER,Deposit,39179.7
1406005,03-31-19,SYSTEM,Deposit,39279.7
1406005,04-07-19,USER,Withdrawl,30012.7
1406005,04-30-19,USER,Deposit,31656.6
1406005,05-07-19,USER,Withdrawl,11686.6
1406005,05-31-19,USER,Deposit,43559.8
1406005,06-08-19,USER,Withdrawl,21818.8
1406005,06-30-19,SYSTEM,Deposit,44426.5
1406005,08-13-19,USER,Withdrawl,40087.5
1406005,09-30-19,SYSTEM,Deposit,49740.7
1406005,11-11-19,USER,Withdrawl,5693.6
,,,,
1406006,01-02-19,USER,Deposit,13000
1406006,01-14-19,USER,Deposit,29000
1406006,01-18-19,USER,Withdrawl,23000
1406006,01-29-19,USER,Deposit,25000
1406006,01-31-19,SYSTEM,Withdrawl,23000
1406006,02-02-19,USER,Deposit,28000
1406006,02-13-19,USER,Withdrawl,8000
1406006,02-28-19,SYSTEM,Withdrawl,6000
1406006,03-06-19,USER,Deposit,17000
1406006,03-17-19,USER,Withdrawl,15000
1406006,03-31-19,SYSTEM,Withdrawl,13000
1406006,03-31-19,SYSTEM,Deposit,13017.8
1406006,04-05-19,USER,Withdrawl,12017.8
1406006,04-17-19,USER,Deposit,12317.8
1406006,04-30-19,SYSTEM,Withdrawl,10017.8
1406006,05-31-19,SYSTEM,Withdrawl,8017.8
1406006,06-30-19,SYSTEM,Withdrawl,6017.8
1406006,06-30-19,SYSTEM,Deposit,6022.3
1406006,07-31-19,SYSTEM,Withdrawl,4022.3
1406006,09-30-19,SYSTEM,Deposit,4045.1
1406006,12-31-19,SYSTEM,Deposit,4067.4
,,,,
1406007,01-08-19,USER,Withdrawl,87375.3
1406007,01-10-19,USER,Withdrawl,82295.3
1406007,01-11-19,USER,Withdrawl,74495.3
1406007,01-11-19,USER,Withdrawl,69895.3
1406007,01-13-19,USER,Withdrawl,68895.3
1406007,01-15-19,USER,Withdrawl,46795.3
1406007,01-20-19,USER,Withdrawl,23095.3
1406007,01-21-19,USER,Withdrawl,21295.3
1406007,01-31-19,USER,Withdrawl,20507.1
1406007,01-31-19,USER,Deposit,21521.7
1406007,02-14-19,USER,Deposit,29607.1
1406007,02-19-19,USER,Withdrawl,25207.1
1406007,02-28-19,USER,Withdrawl,24288.2
1406007,02-28-19,USER,Deposit,25302.8
1406007,03-01-19,USER,Withdrawl,19488.2
1406007,03-16-19,USER,Deposit,28588.2
1406007,03-30-19,USER,Deposit,71461.2
1406007,03-31-19,USER,Withdrawl,71371.2
1406007,03-31-19,SYSTEM,Deposit,71585.8
1406007,04-08-19,USER,Withdrawl,63771.2
1406007,04-15-19,USER,Withdrawl,49571.2
1406007,04-30-19,USER,Withdrawl,49406.3
1406007,04-30-19,USER,Deposit,49820.9
1406007,05-15-19,USER,Withdrawl,42206.3
1406007,05-25-19,USER,Withdrawl,35606.3
1406007,05-26-19,USER,Deposit,50127.3
1406007,05-27-19,USER,Withdrawl,27501.3
1406007,05-31-19,USER,Deposit,27677.7
1406007,05-31-19,USER,Deposit,27692.3
1406007,06-06-19,USER,Deposit,35560.7
1406007,06-14-19,USER,Deposit,38760.7
1406007,06-23-19,USER,Withdrawl,30460.7
1406007,06-30-19,USER,Deposit,30578.4
1406007,06-30-19,SYSTEM,Deposit,30593
1406007,07-14-19,USER,Deposit,37078.4
1406007,07-15-19,USER,Deposit,57812.4
1406007,07-18-19,USER,Withdrawl,48812.4
1406007,07-31-19,USER,Withdrawl,48770.4
1406007,07-31-19,USER,Deposit,48985
1406007,08-07-19,USER,Withdrawl,27679.4
1406007,08-07-19,USER,Withdrawl,21179.4
1406007,08-13-19,USER,Deposit,28479.4
1406007,08-26-19,USER,Deposit,67337.4
1406007,08-31-19,USER,Withdrawl,67283.1
1406007,08-31-19,USER,Deposit,67497.7
1406007,09-02-19,USER,Withdrawl,62083.1
1406007,09-10-19,USER,Withdrawl,56667.1
1406007,09-12-19,USER,Withdrawl,48167.1
1406007,09-17-19,USER,Withdrawl,40167.1
1406007,09-30-19,USER,Deposit,40363.9
1406007,09-30-19,SYSTEM,Deposit,40378.5
1406007,10-06-19,USER,Withdrawl,37311.9
1406007,10-07-19,USER,Deposit,48699.9
1406007,10-12-19,USER,Withdrawl,48099.9
1406007,10-13-19,USER,Withdrawl,40254.9
1406007,10-20-19,USER,Withdrawl,33054.9
1406007,10-22-19,USER,Deposit,82774.9
1406007,10-31-19,USER,Withdrawl,82689.7
1406007,10-31-19,USER,Deposit,83004.3
1406007,11-11-19,USER,Withdrawl,53789.7
1406007,11-11-19,USER,Deposit,76489.7
1406007,11-30-19,USER,Withdrawl,54039.2
1406007,11-30-19,USER,Deposit,54053.8
1406007,12-10-19,USER,Withdrawl,51939.2
1406007,12-11-19,USER,Withdrawl,39839.2
1406007,12-11-19,USER,Deposit,45939.2
1406007,12-12-19,USER,Withdrawl,20110.2
1406007,12-26-19,USER,Deposit,62509.2
1406007,12-31-19,USER,Withdrawl,62461.1
1406007,12-31-19,SYSTEM,Deposit,62675.7
,,,,
1406008,01-07-19,USER,Withdrawl,81973
1406008,01-08-19,USER,Withdrawl,75145
1406008,01-09-19,USER,Withdrawl,64489
1406008,01-10-19,USER,Withdrawl,61589
1406008,01-11-19,USER,Withdrawl,46978
1406008,01-11-19,USER,Withdrawl,45178
1406008,01-12-19,USER,Withdrawl,40078
1406008,01-13-19,USER,Withdrawl,37978
1406008,01-14-19,USER,Withdrawl,34978
1406008,01-19-19,USER,Withdrawl,32578
1406008,01-31-19,USER,Deposit,32770.8
1406008,01-31-19,USER,Deposit,32785.4
1406008,02-05-19,USER,Withdrawl,29670.8
1406008,02-08-19,USER,Withdrawl,22842.8
1406008,02-10-19,USER,Deposit,36242.8
1406008,02-11-19,USER,Withdrawl,29831.8
1406008,02-28-19,USER,Deposit,29942.5
1406008,02-28-19,USER,Deposit,29957.1
1406008,03-08-19,USER,Withdrawl,23114.5
1406008,03-11-19,USER,Withdrawl,16703.5
1406008,03-12-19,USER,Deposit,31803.5
1406008,03-22-19,USER,Deposit,62320.5
1406008,03-29-19,USER,Withdrawl,59720.5
1406008,03-31-19,USER,Deposit,59872.8
1406008,03-31-19,SYSTEM,Deposit,59887.4
1406008,04-01-19,USER,Withdrawl,56672.8
1406008,04-08-19,USER,Withdrawl,49844.8
1406008,04-11-19,USER,Withdrawl,45133.8
1406008,04-11-19,USER,Deposit,51544.8
1406008,04-23-19,USER,Withdrawl,35233.8
1406008,04-30-19,USER,Withdrawl,35022.1
1406008,04-30-19,USER,Deposit,35436.7
1406008,05-08-19,USER,Withdrawl,28594.1
1406008,05-11-19,USER,Withdrawl,17583.1
1406008,05-11-19,USER,Deposit,43994.1
1406008,05-12-19,USER,Withdrawl,34330.9
1406008,05-28-19,USER,Deposit,80982.9
1406008,05-31-19,USER,Withdrawl,79137.9
1406008,05-31-19,USER,Deposit,81152.5
1406008,06-08-19,USER,Withdrawl,74309.9
1406008,06-10-19,USER,Withdrawl,63109.9
1406008,06-11-19,USER,Withdrawl,56698.9
1406008,06-12-19,USER,Withdrawl,53446.7
1406008,06-30-19,USER,Withdrawl,53389.7
1406008,06-30-19,USER,Deposit,53704.3
1406008,07-06-19,USER,Deposit,79346.7
1406008,07-08-19,USER,Withdrawl,72518.7
1406008,07-10-19,USER,Withdrawl,60318.7
1406008,07-11-19,USER,Withdrawl,52407.7
1406008,07-11-19,USER,Deposit,53907.7
1406008,07-12-19,USER,Withdrawl,49155.5
1406008,07-26-19,USER,Withdrawl,35655.5
1406008,07-27-19,USER,Deposit,63009.5
1406008,07-31-19,USER,Withdrawl,62918
1406008,07-31-19,USER,Deposit,63232.6
1406008,08-03-19,USER,Deposit,97174
1406008,08-08-19,USER,Withdrawl,90346
1406008,08-09-19,USER,Withdrawl,68646
1406008,08-11-19,USER,Withdrawl,62235
1406008,08-12-19,USER,Withdrawl,58982.9
1406008,08-31-19,USER,Withdrawl,58923.4
1406008,08-31-19,USER,Deposit,59238
1406008,09-08-19,USER,Withdrawl,47695.4
1406008,09-08-19,USER,Deposit,52395.4
1406008,09-11-19,USER,Withdrawl,41284.4
1406008,09-12-19,USER,Withdrawl,38032.3
1406008,09-30-19,USER,Deposit,38201.2
1406008,09-30-19,SYSTEM,Deposit,38215.8
1406008,10-03-19,USER,Deposit,65162.2
1406008,10-08-19,USER,Withdrawl,63162.2
1406008,10-08-19,USER,Withdrawl,56334.2
1406008,10-11-19,USER,Withdrawl,49923.2
1406008,10-12-19,USER,Withdrawl,46671
1406008,10-16-19,USER,Withdrawl,41825
1406008,10-18-19,USER,Deposit,66316
1406008,10-20-19,USER,Withdrawl,63397
1406008,10-31-19,SYSTEM,Withdrawl,63384.8
1406008,10-31-19,USER,Deposit,63619.4
1406008,11-07-19,USER,Withdrawl,56704.8
1406008,11-08-19,USER,Withdrawl,49876.8
1406008,11-11-19,USER,Withdrawl,43465.8
1406008,11-12-19,USER,Withdrawl,40213.6
1406008,11-30-19,USER,Withdrawl,40191.4
1406008,11-30-19,USER,Deposit,40406
1406008,12-07-19,USER,Deposit,47791.4
1406008,12-08-19,USER,Withdrawl,40963.4
1406008,12-11-19,USER,Withdrawl,34552.4
1406008,12-12-19,USER,Withdrawl,31300.3
1406008,12-17-19,USER,Deposit,45316.3
1406008,12-31-19,USER,Withdrawl,45263.2
1406008,12-31-19,SYSTEM,Deposit,45277.8
,,,,
1406009,01-01-19,USER,Withdrawl,57860.1
1406009,01-05-19,USER,Withdrawl,50343.1
1406009,01-05-19,USER,Withdrawl,46983.1
1406009,01-08-19,USER,Withdrawl,44463.1
1406009,01-09-19,USER,Deposit,68607.1
1406009,01-11-19,USER,Withdrawl,66447.1
1406009,01-12-19,USER,Withdrawl,60954.1
1406009,01-13-19,USER,Withdrawl,60114.1
1406009,01-23-19,USER,Withdrawl,58074.1
1406009,01-23-19,USER,Withdrawl,45274.1
1406009,01-25-19,USER,Withdrawl,41374.1
1406009,01-31-19,USER,Withdrawl,41367
1406009,01-31-19,USER,Deposit,41601.6
1406009,02-05-19,USER,Withdrawl,34070
1406009,02-09-19,USER,Deposit,58214
1406009,02-12-19,USER,Withdrawl,52721
1406009,02-24-19,USER,Withdrawl,46621
1406009,02-28-19,USER,Withdrawl,46608.5
1406009,02-28-19,USER,Deposit,46823.1
1406009,03-05-19,USER,Withdrawl,39291.5
1406009,03-09-19,USER,Deposit,63435.5
1406009,03-13-19,USER,Withdrawl,57135.5
1406009,03-26-19,USER,Withdrawl,48135.5
1406009,03-28-19,USER,Withdrawl,43335.5
1406009,03-31-19,USER,Withdrawl,43329
1406009,03-31-19,SYSTEM,Deposit,43553.6
1406009,04-05-19,USER,Withdrawl,36022
1406009,04-09-19,USER,Deposit,60166
1406009,04-18-19,USER,Withdrawl,53666
1406009,04-25-19,USER,Withdrawl,50566
1406009,04-30-19,USER,Withdrawl,50466.7
1406009,04-30-19,USER,Deposit,50581.3
1406009,05-05-19,USER,Withdrawl,43049.7
1406009,05-09-19,USER,Deposit,67193.7
1406009,05-21-19,USER,Withdrawl,60393.7
1406009,05-25-19,USER,Withdrawl,47993.7
1406009,05-31-19,USER,Withdrawl,46216.8
1406009,05-31-19,USER,Deposit,48231.4
1406009,06-05-19,USER,Withdrawl,40699.8
1406009,06-09-19,USER,Deposit,76915.8
1406009,06-09-19,USER,Withdrawl,57555.8
1406009,06-09-19,USER,Withdrawl,62355.8
1406009,06-24-19,USER,Withdrawl,49155.8
1406009,06-30-19,USER,Withdrawl,49100.1
1406009,06-30-19,SYSTEM,Deposit,49414.7
1406009,07-05-19,USER,Withdrawl,41883.1
1406009,07-07-19,USER,Withdrawl,35383.1
1406009,07-09-19,USER,Deposit,59527.1
1406009,07-24-19,USER,Withdrawl,46227.1
1406009,07-30-19,USER,Withdrawl,43947.1
1406009,07-31-19,USER,Withdrawl,44148
1406009,07-31-19,USER,Deposit,44062.6
1406009,08-02-19,USER,Withdrawl,39348
1406009,08-05-19,USER,Withdrawl,31831
1406009,08-09-19,USER,Deposit,55975
1406009,08-23-19,USER,Withdrawl,42975
1406009,08-31-19,USER,Withdrawl,42855.5
1406009,08-31-19,USER,Deposit,43170.1
1406009,09-05-19,USER,Withdrawl,35638.5
1406009,09-09-19,USER,Deposit,59782.5
1406009,09-09-19,USER,Withdrawl,54382.5
1406009,09-09-19,USER,Withdrawl,53542.5
